,Bed,Bath,m²,Price,Address,Property_type,New_build,Page
151,4,2,121.0,359000,"17 Aylsbury Avenue, Ballincollig, Co. Cork",Semi-D,no,7
152,3,3,103.0,340000,"13 Holly Vale, Forest Hill, Carrigaline, Co. Cork",Semi-D,no,7
153,2,1,61.0,365000,"23 The Park, Balbriggan Street, Skerries, Co. Dublin",Terrace,no,7
154,2,2,71.0,545000,"33 Mount Drummond Avenue, Harold`s Cross, D6, Harold's Cross, Dublin 6",End of Terrace,no,7
155,2,2,,350000,"Apartment 69, Mountfield Park, Malahide, Co. Dublin",Apartment,no,7
156,3,1,69.0,245000,"8 Father Murphy Square, Kilkenny, Co. Kilkenny",Terrace,no,7
157,4,2,,269000,"Drumcrin, Kingscourt, Co. Cavan",Detached,no,7
158,4,2,,295000,"6 Woodlee, Monavalley, Tralee, Co. Kerry",Detached,no,7
159,5,3,186.0,1895000,"Leeson Mews, 41 Leeson Place, Dublin 2",Terrace,no,7
160,4,2,84.0,225000,"15 Lower Aghada, Midleton, Co. Cork",Townhouse,no,8
161,2,1,60.0,385000,"91 Grosvenor Lodge, Rathmines, Rathmines, Dublin 6",Apartment,no,8
162,3,2,94.0,360000,"476 Mourne Road, Drimnagh, Dublin 12",Terrace,no,8
163,2,2,65.0,120000,"Apartment 21, Clanwilliam Court, Waterford City, Co. Waterford",Apartment,no,8
164,2,2,65.0,360000,"Apartment 9 Sycamore House, Eaton Wood Square, Shankill, Dublin 18",Apartment,no,8
165,4,3,122.0,520000,"114 Castleheath, Malahide, Co. Dublin",Townhouse,no,8
166,3,2,,390000,"Springhill, Killenaule, Co. Tipperary",Detached,no,8
167,2,2,62.0,225000,"16 Parklyn, Brockelsby Street, Blackpool, Co. Cork",Semi-D,no,8
168,3,3,89.0,345000,"20 Castlegate Green, Lucan, Co. Dublin",End of Terrace,no,8
169,4,3,224.0,595000,"Cloosh Lodge, Cloosh, Kinvara, Co. Galway",Detached,no,8
170,2,2,90.0,190000,"9 Block D, Stradbrook Apartments, Portlaoise, Co. Laois",Apartment,no,8
171,5,3,,465000,"Greenview, 34A The Great Southern, Newbridge, Co. Kildare",Detached,no,8
